Date,USEURSP
27/08/2008,1.47075
28/08/2008,1.47225
29/08/2008,1.47225
01/09/2008,1.45895
02/09/2008,1.45215
03/09/2008,1.44585
04/09/2008,1.43845
05/09/2008,1.42645
08/09/2008,1.42055
09/09/2008,1.41335
10/09/2008,1.40555
11/09/2008,1.39225
12/09/2008,1.41745
15/09/2008,1.41895
16/09/2008,1.41215
17/09/2008,1.41935
18/09/2008,1.4376
19/09/2008,1.4407
22/09/2008,1.46365
23/09/2008,1.47265
24/09/2008,1.46645
25/09/2008,1.46685
26/09/2008,1.46065
29/09/2008,1.44345
30/09/2008,1.40465
01/10/2008,1.4002
02/10/2008,1.38025
03/10/2008,1.38075
06/10/2008,1.3499
07/10/2008,1.36375
08/10/2008,1.36455
09/10/2008,1.36495
10/10/2008,1.3506
13/10/2008,1.35865
14/10/2008,1.36315
15/10/2008,1.35815
16/10/2008,1.3405
17/10/2008,1.34515
20/10/2008,1.33075
21/10/2008,1.31865
22/10/2008,1.2907
23/10/2008,1.28835
24/10/2008,1.2736
27/10/2008,1.2449
28/10/2008,1.2475
29/10/2008,1.2851
30/10/2008,1.28505
31/10/2008,1.26805
03/11/2008,1.2759
04/11/2008,1.29675
05/11/2008,1.30575
06/11/2008,1.27845
07/11/2008,1.27855
10/11/2008,1.28185
11/11/2008,1.2546
12/11/2008,1.25225
13/11/2008,1.25685
14/11/2008,1.26785
17/11/2008,1.2642
18/11/2008,1.2645
19/11/2008,1.2654
20/11/2008,1.25235
21/11/2008,1.25095
24/11/2008,1.2829
25/11/2008,1.2988
26/11/2008,1.28925
27/11/2008,1.28755
28/11/2008,1.2689
01/12/2008,1.25955
02/12/2008,1.27165
03/12/2008,1.26905
04/12/2008,1.2738
05/12/2008,1.2677
08/12/2008,1.29295
09/12/2008,1.2895
10/12/2008,1.29875
11/12/2008,1.3231
12/12/2008,1.3371
15/12/2008,1.36715
16/12/2008,1.37605
17/12/2008,1.4326
18/12/2008,1.44785
19/12/2008,1.39325
22/12/2008,1.39215
23/12/2008,1.3942
24/12/2008,1.39865
25/12/2008,1.39865
26/12/2008,1.4054
29/12/2008,1.4236
30/12/2008,1.41445
31/12/2008,1.39005
01/01/2009,1.39005
02/01/2009,1.3934
05/01/2009,1.36335
06/01/2009,1.33825
07/01/2009,1.36475
08/01/2009,1.3718
09/01/2009,1.3509
12/01/2009,1.33515
13/01/2009,1.3176
14/01/2009,1.3164
15/01/2009,1.3064
16/01/2009,1.3251
19/01/2009,1.3152
20/01/2009,1.29125
21/01/2009,1.28755
22/01/2009,1.296
23/01/2009,1.27905
26/01/2009,1.31325
27/01/2009,1.31715
28/01/2009,1.3224
29/01/2009,1.30795
30/01/2009,1.2815
02/02/2009,1.28055
03/02/2009,1.29685
04/02/2009,1.2882
05/02/2009,1.28385
06/02/2009,1.28525
09/02/2009,1.30695
10/02/2009,1.30385
11/02/2009,1.29015
12/02/2009,1.27755
13/02/2009,1.29095
16/02/2009,1.2797
17/02/2009,1.25745
18/02/2009,1.25305
19/02/2009,1.26905
20/02/2009,1.26155
23/02/2009,1.27335
24/02/2009,1.27505
25/02/2009,1.26955
26/02/2009,1.27505
27/02/2009,1.27005
02/03/2009,1.25895
03/03/2009,1.25645
04/03/2009,1.25585
05/03/2009,1.2548
06/03/2009,1.26605
09/03/2009,1.2636
10/03/2009,1.27515
11/03/2009,1.27735
12/03/2009,1.27975
13/03/2009,1.2891
16/03/2009,1.29965
17/03/2009,1.29715
18/03/2009,1.311
19/03/2009,1.37295
20/03/2009,1.35655
23/03/2009,1.3568
24/03/2009,1.35235
25/03/2009,1.35395
26/03/2009,1.35595
27/03/2009,1.3306
30/03/2009,1.3165
31/03/2009,1.3277
01/04/2009,1.32285
02/04/2009,1.34425
03/04/2009,1.34245
06/04/2009,1.3406
07/04/2009,1.32725
08/04/2009,1.323
09/04/2009,1.32075
10/04/2009,1.32075
13/04/2009,1.33195
14/04/2009,1.32565
15/04/2009,1.31775
16/04/2009,1.31895
17/04/2009,1.3044
20/04/2009,1.29205
21/04/2009,1.29555
22/04/2009,1.30145
23/04/2009,1.30465
24/04/2009,1.32515
27/04/2009,1.3128
28/04/2009,1.30775
29/04/2009,1.32675
30/04/2009,1.3251
01/05/2009,1.3253
04/05/2009,1.3343
05/05/2009,1.33485
06/05/2009,1.33
07/05/2009,1.3414
08/05/2009,1.34845
11/05/2009,1.36225
12/05/2009,1.36455
13/05/2009,1.3603
14/05/2009,1.35885
15/05/2009,1.3595
18/05/2009,1.3492
19/05/2009,1.36115
20/05/2009,1.37825
21/05/2009,1.37685
22/05/2009,1.39895
25/05/2009,1.40075
26/05/2009,1.39865
27/05/2009,1.39295
28/05/2009,1.3942
29/05/2009,1.41545
01/06/2009,1.4157
02/06/2009,1.42985
03/06/2009,1.41885
04/06/2009,1.41885
05/06/2009,1.4008
08/06/2009,1.38585
09/06/2009,1.40045
10/06/2009,1.40065
11/06/2009,1.40715
12/06/2009,1.39965
15/06/2009,1.38345
16/06/2009,1.38905
17/06/2009,1.38645
18/06/2009,1.39615
19/06/2009,1.39265
22/06/2009,1.388
